date,product_id,origin_country,tariff_rate
20-05-2025,P0001,Bangladesh,3
27-05-2025,P0001,Bangladesh,3
03-06-2025,P0001,Bangladesh,4
10-06-2025,P0001,Bangladesh,3
17-06-2025,P0001,Bangladesh,7
24-06-2025,P0001,Bangladesh,7
20-05-2025,P0002,USA,7
27-05-2025,P0002,USA,3
03-06-2025,P0002,USA,7
10-06-2025,P0002,USA,6
17-06-2025,P0002,USA,5
24-06-2025,P0002,USA,5
20-05-2025,P0003,USA,4
27-05-2025,P0003,USA,6
03-06-2025,P0003,USA,5
10-06-2025,P0003,USA,6
17-06-2025,P0003,USA,6
24-06-2025,P0003,USA,6
20-05-2025,P0004,India,21
27-05-2025,P0004,India,20
03-06-2025,P0004,India,21
10-06-2025,P0004,India,22
17-06-2025,P0004,India,22
24-06-2025,P0004,India,18
20-05-2025,P0005,Vietnam,12
27-05-2025,P0005,Vietnam,11
03-06-2025,P0005,Vietnam,8
10-06-2025,P0005,Vietnam,9
17-06-2025,P0005,Vietnam,8
24-06-2025,P0005,Vietnam,8
20-05-2025,P0006,USA,4
27-05-2025,P0006,USA,5
03-06-2025,P0006,USA,6
10-06-2025,P0006,USA,7
17-06-2025,P0006,USA,5
24-06-2025,P0006,USA,7
20-05-2025,P0007,South Korea,16
27-05-2025,P0007,South Korea,15
03-06-2025,P0007,South Korea,17
10-06-2025,P0007,South Korea,13
17-06-2025,P0007,South Korea,13
24-06-2025,P0007,South Korea,15
20-05-2025,P0008,Vietnam,7
27-05-2025,P0008,Vietnam,3
03-06-2025,P0008,Vietnam,5
10-06-2025,P0008,Vietnam,6
17-06-2025,P0008,Vietnam,5
24-06-2025,P0008,Vietnam,3
20-05-2025,P0009,Indonesia,5
27-05-2025,P0009,Indonesia,5
03-06-2025,P0009,Indonesia,3
10-06-2025,P0009,Indonesia,3
17-06-2025,P0009,Indonesia,3
24-06-2025,P0009,Indonesia,4
20-05-2025,P0010,India,20
27-05-2025,P0010,India,22
03-06-2025,P0010,India,18
10-06-2025,P0010,India,21
17-06-2025,P0010,India,21
24-06-2025,P0010,India,18
20-05-2025,P0011,Germany,8
27-05-2025,P0011,Germany,11
03-06-2025,P0011,Germany,10
10-06-2025,P0011,Germany,8
17-06-2025,P0011,Germany,11
24-06-2025,P0011,Germany,9
20-05-2025,P0012,India,12
27-05-2025,P0012,India,10
03-06-2025,P0012,India,9
10-06-2025,P0012,India,10
17-06-2025,P0012,India,10
24-06-2025,P0012,India,12
20-05-2025,P0013,USA,17
27-05-2025,P0013,USA,16
03-06-2025,P0013,USA,14
10-06-2025,P0013,USA,14
17-06-2025,P0013,USA,13
24-06-2025,P0013,USA,17
20-05-2025,P0014,USA,6
27-05-2025,P0014,USA,6
03-06-2025,P0014,USA,4
10-06-2025,P0014,USA,3
17-06-2025,P0014,USA,3
24-06-2025,P0014,USA,4
20-05-2025,P0015,Bangladesh,18
27-05-2025,P0015,Bangladesh,19
03-06-2025,P0015,Bangladesh,22
10-06-2025,P0015,Bangladesh,21
17-06-2025,P0015,Bangladesh,20
24-06-2025,P0015,Bangladesh,19
20-05-2025,P0016,Vietnam,17
27-05-2025,P0016,Vietnam,17
03-06-2025,P0016,Vietnam,17
10-06-2025,P0016,Vietnam,17
17-06-2025,P0016,Vietnam,13
24-06-2025,P0016,Vietnam,13
20-05-2025,P0017,Bangladesh,15
27-05-2025,P0017,Bangladesh,16
03-06-2025,P0017,Bangladesh,15
10-06-2025,P0017,Bangladesh,13
17-06-2025,P0017,Bangladesh,15
24-06-2025,P0017,Bangladesh,17
20-05-2025,P0018,Germany,10
27-05-2025,P0018,Germany,12
03-06-2025,P0018,Germany,9
10-06-2025,P0018,Germany,9
17-06-2025,P0018,Germany,12
24-06-2025,P0018,Germany,8
20-05-2025,P0019,Pakistan,5
27-05-2025,P0019,Pakistan,3
03-06-2025,P0019,Pakistan,7
10-06-2025,P0019,Pakistan,4
17-06-2025,P0019,Pakistan,4
24-06-2025,P0019,Pakistan,3
20-05-2025,P0020,USA,5
27-05-2025,P0020,USA,6
03-06-2025,P0020,USA,7
10-06-2025,P0020,USA,4
17-06-2025,P0020,USA,6
24-06-2025,P0020,USA,6
20-05-2025,P0021,Indonesia,18
27-05-2025,P0021,Indonesia,18
03-06-2025,P0021,Indonesia,22
10-06-2025,P0021,Indonesia,20
17-06-2025,P0021,Indonesia,21
24-06-2025,P0021,Indonesia,22
20-05-2025,P0022,China,22
27-05-2025,P0022,China,19
03-06-2025,P0022,China,18
10-06-2025,P0022,China,22
17-06-2025,P0022,China,18
24-06-2025,P0022,China,20
20-05-2025,P0023,USA,22
27-05-2025,P0023,USA,22
03-06-2025,P0023,USA,21
10-06-2025,P0023,USA,20
17-06-2025,P0023,USA,19
24-06-2025,P0023,USA,19
20-05-2025,P0024,Germany,21
27-05-2025,P0024,Germany,19
03-06-2025,P0024,Germany,22
10-06-2025,P0024,Germany,19
17-06-2025,P0024,Germany,22
24-06-2025,P0024,Germany,19
20-05-2025,P0025,Mexico,15
27-05-2025,P0025,Mexico,15
03-06-2025,P0025,Mexico,15
10-06-2025,P0025,Mexico,16
17-06-2025,P0025,Mexico,16
24-06-2025,P0025,Mexico,17
20-05-2025,P0026,Pakistan,7
27-05-2025,P0026,Pakistan,6
03-06-2025,P0026,Pakistan,7
10-06-2025,P0026,Pakistan,6
17-06-2025,P0026,Pakistan,6
24-06-2025,P0026,Pakistan,7
20-05-2025,P0027,USA,21
27-05-2025,P0027,USA,20
03-06-2025,P0027,USA,21
10-06-2025,P0027,USA,19
17-06-2025,P0027,USA,19
24-06-2025,P0027,USA,21
20-05-2025,P0028,China,7
27-05-2025,P0028,China,3
03-06-2025,P0028,China,3
10-06-2025,P0028,China,7
17-06-2025,P0028,China,7
24-06-2025,P0028,China,4
20-05-2025,P0029,USA,16
27-05-2025,P0029,USA,16
03-06-2025,P0029,USA,14
10-06-2025,P0029,USA,14
17-06-2025,P0029,USA,17
24-06-2025,P0029,USA,17
20-05-2025,P0030,USA,8
27-05-2025,P0030,USA,12
03-06-2025,P0030,USA,11
10-06-2025,P0030,USA,8
17-06-2025,P0030,USA,9
24-06-2025,P0030,USA,10
20-05-2025,P0031,Vietnam,22
27-05-2025,P0031,Vietnam,20
